City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
67,Faanui,PF,2022-05-07 23:56:35,-16.4833,-151.75,80.98,76,10,5.32
68,Garowe,SO,2022-05-08 00:02:43,8.4054,48.4845,81.59,66,65,8.39
69,Butaritari,KI,2022-05-07 23:54:24,3.0707,172.7902,81.91,78,85,16.46
70,Wageningen,NL,2022-05-08 00:02:44,51.9667,5.6667,53.69,85,100,11.5
71,Karatau,KZ,2022-05-08 00:00:26,43.1667,70.4667,63.63,46,79,3.78
72,Haines Junction,CA,2022-05-07 23:55:45,60.7522,-137.5108,37.35,93,95,3.44
73,Callaguip,PH,2022-05-08 00:02:45,18.0714,120.4867,84.4,68,99,5.3
74,Kodiak,US,2022-05-07 23:54:42,57.79,-152.4072,50.18,54,9,8.32
75,Saldanha,ZA,2022-05-07 23:57:46,-33.0117,17.9442,51.85,84,0,15.66
76,Kadyy,RU,2022-05-08 00:02:45,57.787,43.1903,45.97,74,58,8.12
77,Upernavik,GL,2022-05-08 00:02:46,72.7868,-56.1549,9.55,86,13,5.73
78,Fortuna,US,2022-05-08 00:02:47,40.5982,-124.1573,57.92,69,0,16.11
79,Las Vigas,MX,2022-05-08 00:02:47,19.6333,-97.0833,67.26,59,8,3.22
80,Brigantine,US,2022-05-08 00:00:27,39.4101,-74.3646,48.02,94,100,27.63
81,Si Sa Ket,TH,2022-05-08 00:02:48,14.8333,104.3333,84.85,73,100,4.59
82,Hilo,US,2022-05-07 23:56:31,19.7297,-155.09,90.28,95,100,1.01
83,Jutai,BR,2022-05-08 00:02:49,-5.1833,-68.9,72.5,98,100,1.05
84,Caravelas,BR,2022-05-07 23:58:40,-17.7125,-39.2481,74.17,88,93,11.72
85,Saint George,US,2022-05-07 23:58:26,37.1041,-113.5841,90.63,12,64,14.0
86,Norman Wells,CA,2022-05-07 23:59:16,65.282,-126.8329,42.84,56,100,4.61
87,Sao Filipe,CV,2022-05-07 23:58:10,14.8961,-24.4956,74.28,77,30,12.64
88,Ugoofaaru,MV,2022-05-07 23:57:39,5.6667,73.0,84.9,71,90,12.48
89,Chuy,UY,2022-05-07 23:53:21,-33.6971,-53.4616,58.28,83,25,5.23
90,Sabha,LY,2022-05-08 00:02:50,27.0377,14.4283,73.63,20,0,8.61
91,Souillac,MU,2022-05-08 00:02:51,-20.5167,57.5167,74.66,80,19,11.79
92,Sao Miguel,BR,2022-05-08 00:02:51,-5.4667,-35.3667,76.69,89,100,8.93
93,Plettenberg Bay,ZA,2022-05-08 00:03:52,-34.0527,23.3716,57.25,83,97,2.73
94,Pingliang,CN,2022-05-08 00:03:52,35.5392,106.6861,61.21,68,71,4.56
95,Victoria,HK,2022-05-07 23:56:30,22.2855,114.1577,79.18,69,86,5.99
96,Qaanaaq,GL,2022-05-07 23:56:11,77.484,-69.3632,15.82,83,100,4.9
97,Berezovka,BY,2022-05-08 00:03:53,53.7214,25.4993,50.38,88,99,4.81
98,Saint-Augustin,CA,2022-05-08 00:03:54,51.226,-58.6502,33.24,68,74,5.91
99,Najran,SA,2022-05-08 00:03:54,17.4924,44.1277,78.37,43,23,5.06
100,Honningsvag,NO,2022-05-08 00:03:55,70.9821,25.9704,33.55,80,75,21.85
101,Kaitangata,NZ,2022-05-07 23:55:27,-46.2817,169.8464,57.27,87,100,2.93
102,Emerald,AU,2022-05-08 00:03:56,-23.5333,148.1667,68.74,59,55,17.96
103,Paamiut,GL,2022-05-08 00:03:56,61.994,-49.6678,31.3,89,56,13.78
