City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
79,Cockburn Town,TC,21.4612,-71.1419,82.36,74,40,11.5,scattered clouds
80,Boden,SE,65.8252,21.6886,46.4,49,96,8.3,overcast clouds
81,Hermanus,ZA,-34.4187,19.2345,59.81,78,62,4.38,broken clouds
82,Sarangani,PH,5.4033,125.4636,79.3,92,100,16.51,heavy intensity rain
83,Saskylakh,RU,71.9167,114.0833,10.29,92,81,13.42,broken clouds
84,Norman Wells,CA,65.282,-126.8329,38.73,69,100,1.28,overcast clouds
85,Bredasdorp,ZA,-34.5322,20.0403,56.17,83,91,3.78,overcast clouds
86,Voskevan,AM,41.1202,45.0653,43.09,92,100,2.24,overcast clouds
87,Lodja,CD,-3.4833,23.4333,75.11,81,72,0.38,broken clouds
88,Ust-Maya,RU,60.4167,134.5333,36.55,98,100,3.11,overcast clouds
89,East London,ZA,-33.0153,27.9116,64.26,73,85,15.82,overcast clouds
90,Saint-Denis,FR,48.9167,2.3333,72.36,53,0,10.36,clear sky
91,Baherden,TM,38.4362,57.4316,71.49,67,92,9.71,light rain
92,Hobart,AU,-42.8794,147.3294,43.05,87,19,9.22,few clouds
93,Andros Town,BS,24.7,-77.7667,76.96,53,19,15.3,few clouds
94,Abu Kamal,SY,34.4506,40.9171,74.01,26,3,9.37,clear sky
95,Pandan,PH,14.0453,124.1694,80.6,83,18,9.66,few clouds
96,Port Macquarie,AU,-31.4333,152.9167,47.89,78,0,6.4,clear sky
97,Saint-Augustin,CA,51.226,-58.6502,45.14,44,72,9.1,broken clouds
98,Faya,SA,18.3851,42.4509,69.91,55,3,4.38,clear sky
99,Mahebourg,MU,-20.4081,57.7,75.49,83,40,5.75,scattered clouds
100,Xifeng,CN,42.7372,124.7222,46.69,30,0,4.74,clear sky
101,Shellbrook,CA,53.2168,-106.4011,52.83,47,65,13.24,broken clouds
102,Buala,SB,-8.145,159.5921,79.97,86,97,8.05,light rain
103,Hangal,IN,14.7667,75.1333,77.18,84,94,7.67,overcast clouds
104,Emerald,AU,-23.5333,148.1667,66.51,61,100,11.36,overcast clouds
105,Chokurdakh,RU,70.6333,147.9167,10.11,89,99,6.78,overcast clouds
106,Lebu,CL,-37.6167,-73.65,57.33,92,99,7.54,overcast clouds
107,Laguna,US,38.421,-121.4238,62.44,40,0,11.5,clear sky
108,Bambous Virieux,MU,-20.3428,57.7575,75.45,83,40,5.75,scattered clouds
109,Faanui,PF,-16.4833,-151.75,80.65,79,11,9.53,moderate rain
110,Yarim,YE,14.298,44.3779,64.74,54,84,3.69,light rain
111,Poum,NC,-20.2333,164.0167,76.06,64,89,12.71,overcast clouds
112,Sikonge,TZ,-5.6333,32.7667,72.37,53,100,2.82,overcast clouds
113,Provideniya,RU,64.3833,-173.3,31.01,98,100,5.57,light snow
114,Kaeo,NZ,-35.1,173.7833,57.33,95,76,5.59,broken clouds
115,Kilindoni,TZ,-7.9139,39.6668,81.34,76,18,16.02,few clouds
116,Ambilobe,MG,-13.2,49.05,74.68,89,39,2.37,scattered clouds
117,Lompoc,US,34.6391,-120.4579,64.02,62,0,27.63,clear sky
118,Laem Sing,TH,12.4816,102.0738,84.15,100,99,4.18,light rain
119,Huarmey,PE,-10.0681,-78.1522,71.31,76,27,13.04,scattered clouds
120,Kondinskoye,RU,59.6481,67.41,49.33,71,48,7.81,scattered clouds
121,Immokalee,US,26.4187,-81.4173,88.99,60,75,9.22,broken clouds
122,Quatre Cocos,MU,-20.2078,57.7625,75.31,85,28,10.29,scattered clouds
123,Bengkulu,ID,-3.8004,102.2655,78.08,82,96,3.98,overcast clouds
124,Camargo,MX,27.6667,-105.1667,86.58,9,3,11.3,clear sky
125,Jamestown,US,42.097,-79.2353,63.01,26,0,4.61,clear sky
126,Valdivia,CL,-39.8142,-73.2459,66.29,83,96,0.89,overcast clouds
127,Beringovskiy,RU,63.05,179.3167,26.92,94,80,9.64,broken clouds
128,Coos Bay,US,43.3665,-124.2179,43.99,94,100,0.0,overcast clouds
129,Barrow,US,71.2906,-156.7887,19.42,86,100,12.66,overcast clouds
130,Gat,IL,31.61,34.7642,70.39,40,0,8.14,clear sky
131,Lewistown,US,40.5992,-77.5714,62.87,67,0,5.75,clear sky
132,Bekwai,GH,6.4534,-1.5774,85.24,69,100,3.87,overcast clouds
133,Wajir,KE,1.7471,40.0573,84.42,60,91,17.07,light rain
134,Necochea,AR,-38.5473,-58.7368,73.45,50,1,20.4,clear sky
135,Comodoro Rivadavia,AR,-45.8667,-67.5,64.26,27,20,27.63,few clouds
136,Saint-Pierre,RE,-21.3393,55.4781,73.9,78,0,3.44,clear sky
137,Gazli,UZ,40.1333,63.45,85.01,31,98,19.8,overcast clouds
138,Meulaboh,ID,4.1363,96.1285,78.42,86,100,3.71,moderate rain
139,Ponta Do Sol,PT,32.6667,-17.1,72.72,66,15,4.92,few clouds
140,Hofn,IS,64.2539,-15.2082,46.42,96,100,9.06,overcast clouds
141,Margate,GB,51.3813,1.3862,56.1,70,0,7.0,clear sky
142,Bodden Town,KY,19.2833,-81.25,86.0,74,20,12.66,few clouds
143,Bagdarin,RU,54.4333,113.6,42.53,64,100,8.57,light rain
144,Dzhebariki-Khaya,RU,62.2167,135.8,40.21,89,100,12.41,light rain
145,Aleksandrov Gay,RU,50.147,48.5704,51.06,54,100,10.0,overcast clouds
146,Tucuman,AR,-26.8241,-65.2226,66.2,72,75,8.05,broken clouds
147,Khandbari,NP,27.3747,87.2039,70.11,80,85,2.71,overcast clouds
148,Lorengau,PG,-2.0226,147.2712,83.23,75,89,12.75,overcast clouds
149,Schwechat,AT,48.1333,16.4667,68.92,64,20,6.91,few clouds
150,Hithadhoo,MV,-0.6,73.0833,84.72,77,73,19.33,broken clouds
151,Kendari,ID,-3.945,122.4989,75.97,95,100,3.42,overcast clouds
152,Atyrau,KZ,47.1167,51.8833,57.22,82,75,17.9,broken clouds
153,Kieta,PG,-6.2167,155.6333,78.64,88,71,3.53,light rain
154,Danshui,CN,22.7984,114.4672,72.41,85,100,1.66,overcast clouds
155,Jeremie,HT,18.65,-74.1167,83.82,63,5,4.63,clear sky
156,Gerash,IR,27.6652,54.1371,84.34,21,0,6.4,clear sky
157,Tuatapere,NZ,-46.1333,167.6833,50.02,94,60,2.53,light rain
158,La Ronge,CA,55.1001,-105.2842,50.25,37,75,19.57,broken clouds
159,Sovetskiy,RU,61.3614,63.5842,50.45,62,51,6.4,broken clouds
160,Safakulevo,RU,54.9901,62.5442,55.08,32,33,3.42,scattered clouds
161,Avarua,CK,-21.2078,-159.775,80.65,89,40,6.91,scattered clouds
162,Kautokeino,NO,69.0125,23.0412,33.69,62,100,3.6,overcast clouds
163,Osecina,RS,44.3731,19.6014,62.65,74,100,5.03,overcast clouds
164,Grindavik,IS,63.8424,-22.4338,55.87,71,75,18.41,broken clouds
165,Chuy,UY,-33.6971,-53.4616,69.01,54,15,8.5,few clouds
166,San Cristobal,VE,7.7669,-72.225,82.58,50,58,8.34,broken clouds
167,Quelimane,MZ,-17.8786,36.8883,75.15,83,75,4.61,broken clouds
168,General Roca,AR,-39.0333,-67.5833,70.63,35,46,23.62,scattered clouds
169,Constitucion,CL,-35.3333,-72.4167,59.61,72,83,3.29,broken clouds
170,Tuktoyaktuk,CA,69.4541,-133.0374,35.6,75,75,14.97,broken clouds
171,Tambo,PE,-14.8,-73.9167,49.66,30,55,7.31,broken clouds
172,Axim,GH,4.8699,-2.2405,83.34,74,99,8.97,overcast clouds
173,Changji,CN,44.0167,87.3167,66.99,39,0,8.95,clear sky
174,Batagay-Alyta,RU,67.8006,130.4114,22.53,96,100,3.29,overcast clouds
175,Grand Gaube,MU,-20.0064,57.6608,75.6,78,4,3.0,clear sky
176,Puerto Escondido,MX,15.85,-97.0667,86.83,70,0,9.22,clear sky
177,Honiara,SB,-9.4333,159.95,77.38,89,85,7.38,overcast clouds
178,Kizema,RU,61.113,44.8302,49.33,94,98,5.53,light rain
179,Beyneu,KZ,45.3167,55.2,66.69,53,67,15.84,broken clouds
180,Kaitangata,NZ,-46.2817,169.8464,52.45,96,100,0.98,overcast clouds
